,tickerID
0,0001.HK
1,0010.HK
2,1000.HK
3,1001.HK
4,1002.HK
5,1003.HK
6,1005.HK
7,1007.HK
8,1008.HK
9,1009.HK
10,0101.HK
11,1010.HK
12,1011.HK
13,1013.HK
14,0102.HK
15,1020.HK
16,1022.HK
17,1023.HK
18,1024.HK
19,1025.HK
20,1027.HK
21,1028.HK
22,1029.HK
23,0103.HK
24,1030.HK
25,1031.HK
26,1033.HK
27,1034.HK
28,1036.HK
29,1037.HK
30,1038.HK
31,1039.HK
32,0104.HK
33,1044.HK
34,1045.HK
35,1046.HK
36,1047.HK
37,1049.HK
38,0105.HK
39,1050.HK
40,1051.HK
41,1052.HK
42,1053.HK
43,1055.HK
44,1057.HK
45,1058.HK
46,1059.HK
47,0106.HK
48,1060.HK
49,1061.HK
50,1062.HK
51,1063.HK
52,1064.HK
53,1065.HK
54,1066.HK
55,1068.HK
56,0107.HK
57,1070.HK
58,1071.HK
59,1072.HK
60,1073.HK
61,1075.HK
62,1076.HK
63,1079.HK
64,0108.HK
65,1080.HK
66,1082.HK
67,1083.HK
68,1084.HK
69,1085.HK
70,1086.HK
71,1087.HK
72,1088.HK
73,1090.HK
74,1091.HK
75,1093.HK
76,1094.HK
77,1097.HK
78,1098.HK
79,1099.HK
80,0011.HK
81,0110.HK
82,1100.HK
83,1101.HK
84,1103.HK
85,1104.HK
86,1105.HK
87,1107.HK
88,1108.HK
89,1109.HK
90,0111.HK
91,1110.HK
92,1112.HK
93,1113.HK
94,1115.HK
95,1116.HK
96,1117.HK
97,1118.HK
98,1119.HK
99,1120.HK
100,1121.HK
101,1122.HK
102,1123.HK
103,1124.HK
104,1125.HK
105,1126.HK
106,1127.HK
107,1128.HK
108,1129.HK
109,0113.HK
110,1130.HK
111,1132.HK
112,1133.HK
113,1134.HK
114,1137.HK
115,1138.HK
116,0114.HK
117,1140.HK
118,1141.HK
119,1142.HK
120,1143.HK
121,1145.HK
122,1146.HK
123,1147.HK
124,1148.HK
125,0115.HK
126,1150.HK
127,1153.HK
128,1157.HK
129,1159.HK
130,0116.HK
131,1161.HK
132,1162.HK
133,1163.HK
134,1164.HK
135,1165.HK
136,1166.HK
137,1167.HK
138,1168.HK
139,0117.HK
140,1170.HK
141,1171.HK
142,1172.HK
143,1173.HK
144,1176.HK
145,1177.HK
146,1179.HK
147,0118.HK
148,1180.HK
149,1181.HK
150,1182.HK
151,1183.HK
152,1184.HK
153,1186.HK
154,1189.HK
155,0119.HK
156,1193.HK
157,1194.HK
158,1195.HK
159,1196.HK
160,1198.HK
161,1199.HK
162,0012.HK
163,0120.HK
164,1200.HK
165,1201.HK
166,1202.HK
167,1203.HK
168,1205.HK
169,1206.HK
170,1207.HK
171,1208.HK
172,1209.HK
173,1210.HK
174,1211.HK
175,1212.HK
176,1213.HK
177,1215.HK
178,1216.HK
179,1217.HK
180,1218.HK
181,0122.HK
182,1220.HK
183,1221.HK
184,1222.HK
185,1223.HK
186,1224.HK
187,1226.HK
188,1228.HK
189,1229.HK
190,0123.HK
191,1230.HK
192,1231.HK
193,1232.HK
194,1233.HK
195,1234.HK
196,1235.HK
197,1237.HK
198,1238.HK
199,1239.HK
200,0124.HK
201,1240.HK
202,1241.HK
203,1243.HK
204,1245.HK
205,1246.HK
206,1247.HK
207,0125.HK
208,1250.HK
209,1251.HK
210,1252.HK
211,1255.HK
212,1257.HK
213,1258.HK
214,1259.HK
215,0126.HK
216,1260.HK
217,1262.HK
218,1263.HK
219,1265.HK
220,1266.HK
221,1268.HK
222,1269.HK
223,0127.HK
224,1270.HK
225,1271.HK
226,1272.HK
227,1273.HK
228,1277.HK
229,1278.HK
230,0128.HK
231,1280.HK
232,1281.HK
233,1282.HK
234,1283.HK
235,1285.HK
236,1286.HK
237,1288.HK
238,1289.HK
239,0129.HK
240,1290.HK
241,1292.HK
242,1293.HK
243,1296.HK
244,1297.HK
245,1298.HK
246,1299.HK
247,0013.HK
248,0130.HK
249,1300.HK
250,1301.HK
251,1302.HK
252,1303.HK
253,1305.HK
254,1308.HK
255,0131.HK
256,1310.HK
257,1312.HK
258,1313.HK
259,1314.HK
260,1315.HK
261,1316.HK
262,1317.HK
263,1319.HK
264,0132.HK
265,1321.HK
266,1323.HK
267,1326.HK
268,1327.HK
269,1328.HK
270,1329.HK
271,0133.HK
272,1330.HK
273,1332.HK
274,1335.HK
275,1336.HK
276,1337.HK
277,1338.HK
278,1339.HK
279,1340.HK
280,1341.HK
281,1343.HK
282,1345.HK
283,1346.HK
284,1347.HK
285,1348.HK
286,1349.HK
287,0135.HK
288,1351.HK
289,1355.HK
290,1357.HK
291,1358.HK
292,1359.HK
293,0136.HK
294,1360.HK
295,1361.HK
296,1362.HK
297,1366.HK
298,1368.HK
299,0137.HK
300,1371.HK
301,1372.HK
302,1373.HK
303,1375.HK
304,1378.HK
305,1379.HK
306,0138.HK
307,1380.HK
308,1381.HK
309,1382.HK
310,1383.HK
311,1385.HK
312,1387.HK
313,1388.HK
314,1389.HK
315,0139.HK
316,1393.HK
317,1395.HK
318,1396.HK
319,1397.HK
320,1398.HK
321,1399.HK
322,0014.HK
323,1400.HK
324,1401.HK
325,1402.HK
326,1408.HK
327,1410.HK
328,1412.HK
329,1413.HK
330,1415.HK
331,1417.HK
332,1418.HK
333,1419.HK
334,0142.HK
335,1420.HK
336,1421.HK
337,1425.HK
338,1427.HK
339,1428.HK
340,1429.HK
341,1431.HK
342,1432.HK
343,1433.HK
344,1439.HK
345,0144.HK
346,1440.HK
347,1442.HK
348,1443.HK
349,1446.HK
350,1447.HK
351,1448.HK
352,1449.HK
353,0145.HK
354,1450.HK
355,1451.HK
356,1452.HK
357,1455.HK
358,1456.HK
359,1458.HK
360,1459.HK
361,0146.HK
362,1460.HK
363,1461.HK
364,1463.HK
365,1466.HK
366,1468.HK
367,1469.HK
368,0147.HK
369,1470.HK
370,1472.HK
371,1473.HK
372,1475.HK
373,1477.HK
374,1478.HK
375,0148.HK
376,1480.HK
377,1481.HK
378,1483.HK
379,1486.HK
380,1488.HK
381,0149.HK
382,1490.HK
383,1495.HK
384,1496.HK
385,1498.HK
386,1499.HK
387,0150.HK
388,1500.HK
389,1501.HK
390,1502.HK
391,1508.HK
392,0151.HK
393,1513.HK
394,1515.HK
395,1516.HK
396,1518.HK
397,0152.HK
398,1520.HK
399,1521.HK
400,1522.HK
401,1523.HK
402,1525.HK
403,1526.HK
404,1527.HK
405,1528.HK
406,1529.HK
407,1530.HK
408,1532.HK
409,1533.HK
410,1536.HK
411,1538.HK
412,1539.HK
413,0154.HK
414,1540.HK
415,1542.HK
416,1543.HK
417,1545.HK
418,1546.HK
419,1547.HK
420,1548.HK
421,1549.HK
422,1551.HK
423,1552.HK
424,1553.HK
425,1555.HK
426,1556.HK
427,1558.HK
428,1559.HK
429,0156.HK
430,1560.HK
431,1561.HK
432,1563.HK
433,1566.HK
434,1568.HK
435,1569.HK
436,0157.HK
437,1571.HK
438,1572.HK
439,1575.HK
440,1576.HK
441,1577.HK
442,1578.HK
443,1579.HK
444,1580.HK
445,1581.HK
446,1582.HK
447,1583.HK
448,1585.HK
449,1586.HK
450,1587.HK
451,1588.HK
452,1589.HK
453,0159.HK
454,1591.HK
455,1592.HK
456,1593.HK
457,1596.HK
458,1597.HK
459,1598.HK
460,1599.HK
461,0016.HK
462,0160.HK
463,1600.HK
464,1601.HK
465,1606.HK
466,1608.HK
467,1609.HK
468,1610.HK
469,1611.HK
470,1612.HK
471,1613.HK
472,1615.HK
473,1616.HK
474,1617.HK
475,1618.HK
476,0162.HK
477,1620.HK
478,1621.HK
479,1622.HK
480,1623.HK
481,1626.HK
482,1627.HK
483,1628.HK
484,1629.HK
485,0163.HK
486,1630.HK
487,1631.HK
488,1632.HK
489,1633.HK
490,1635.HK
491,1636.HK
492,1637.HK
493,1638.HK
494,1639.HK
495,0164.HK
496,1640.HK
497,1643.HK
498,1645.HK
499,1647.HK
500,0165.HK
501,1651.HK
502,1652.HK
503,1653.HK
504,1655.HK
505,1657.HK
506,1658.HK
507,0166.HK
508,1660.HK
509,1661.HK
510,1662.HK
511,1663.HK
512,1665.HK
513,1666.HK
514,1667.HK
515,1668.HK
516,1669.HK
517,0167.HK
518,1671.HK
519,1672.HK
520,1673.HK
521,1675.HK
522,1676.HK
523,1679.HK
524,0168.HK
525,1680.HK
526,1681.HK
527,1682.HK
528,1683.HK
529,1685.HK
530,1686.HK
531,1689.HK
532,0169.HK
533,1690.HK
534,1691.HK
535,1692.HK
536,1695.HK
537,1696.HK
538,1697.HK
539,1699.HK
540,0017.HK
541,1701.HK
542,1703.HK
543,1705.HK
544,1706.HK
545,1707.HK
546,1708.HK
547,1709.HK
548,0171.HK
549,1710.HK
550,1711.HK
551,1713.HK
552,1715.HK
553,1716.HK
554,1717.HK
555,1718.HK
556,1719.HK
557,1720.HK
558,1721.HK
559,1722.HK
560,1723.HK
561,1725.HK
562,1726.HK
563,1727.HK
564,1728.HK
565,1729.HK
566,0173.HK
567,1730.HK
568,1731.HK
569,1732.HK
570,1733.HK
571,1735.HK
572,1736.HK
573,1737.HK
574,1738.HK
575,1739.HK
576,0174.HK
577,1740.HK
578,1741.HK
579,1742.HK
580,1745.HK
581,1746.HK
582,1747.HK
583,1748.HK
584,1749.HK
585,0175.HK
586,1750.HK
587,1751.HK
588,1752.HK
589,1753.HK
590,1755.HK
591,1756.HK
592,1757.HK
593,1759.HK
594,0176.HK
595,1760.HK
596,1761.HK
597,1762.HK
598,1763.HK
599,1765.HK
600,1766.HK
601,1767.HK
602,1769.HK
603,0177.HK
604,1771.HK
605,1772.HK
606,1775.HK
607,1776.HK
608,1777.HK
609,1778.HK
610,0178.HK
611,1780.HK
612,1782.HK
613,1783.HK
614,1785.HK
615,1786.HK
616,1787.HK
617,1788.HK
618,1789.HK
619,0179.HK
620,1790.HK
621,1792.HK
622,1793.HK
623,1795.HK
624,1796.HK
625,1797.HK
626,1798.HK
627,1799.HK
628,0018.HK
629,0180.HK
630,1800.HK
631,1801.HK
632,1802.HK
633,1803.HK
634,1808.HK
635,1809.HK
636,0181.HK
637,1810.HK
638,1811.HK
639,1812.HK
640,1813.HK
641,1815.HK
642,1816.HK
643,1817.HK
644,1818.HK
645,0182.HK
646,1820.HK
647,1821.HK
648,1823.HK
649,1825.HK
650,1826.HK
651,1827.HK
652,0183.HK
653,1830.HK
654,1831.HK
655,1832.HK
656,1833.HK
657,1836.HK
658,1837.HK
659,1839.HK
660,0184.HK
661,1841.HK
662,1842.HK
663,1843.HK
664,1845.HK
665,1846.HK
666,1847.HK
667,1848.HK
668,1849.HK
669,0185.HK
670,1850.HK
671,1851.HK
672,1853.HK
673,1854.HK
674,1855.HK
675,1856.HK
676,1857.HK
677,1858.HK
678,1859.HK
679,0186.HK
680,1860.HK
681,1861.HK
682,1862.HK
683,1865.HK
684,1866.HK
685,1867.HK
686,1868.HK
687,1869.HK
688,0187.HK
689,1870.HK
690,1871.HK
691,1872.HK
692,1873.HK
693,1875.HK
694,1876.HK
695,1877.HK
696,1878.HK
697,0188.HK
698,1882.HK
699,1883.HK
700,1884.HK
701,1888.HK
702,1889.HK
703,0189.HK
704,1890.HK
705,1891.HK
706,1896.HK
707,1897.HK
708,1898.HK
709,1899.HK
710,0019.HK
711,1900.HK
712,1901.HK
713,1902.HK
714,1903.HK
715,1905.HK
716,1906.HK
717,1907.HK
718,1908.HK
719,1909.HK
720,0191.HK
721,1910.HK
722,1911.HK
723,1912.HK
724,1913.HK
725,1915.HK
726,1916.HK
727,1917.HK
