tickerID,longName,sector,industry,fullTimeEmployees,city,country,companyOfficers,maxAge,isEsgPopulated,fundFamily,forwardPE,targetLowPrice,targetHighPrice,targetMedianPrice,targetMeanPrice,numberOfAnalystOpinions,recommendationMean,recommendationKey,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,trailingEps,financialCurrency,sharesOutstanding,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,lastDividendDate,exDividendDate,fundInceptionDate,heldPercentInsiders,ebitdaMargins,profitMargins,grossMargins,operatingMargins,revenueGrowth,earningsGrowth,threeYearAverageReturn,dividendYield,dividendRate,payoutRatio,lastCapGain,currentRatio,debtToEquity,returnOnEquity,totalCashPerShare,revenuePerShare,quickRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,annualReportExpenseRatio,bookValue,sharesShort,priceToBook,yield,shortRatio,beta,pegRatio,enterpriseValue,marketCap,operatingCashflow,ebitda,grossProfits,freeCashflow,totalCash,totalDebt,totalRevenue,algorithm,averageVolume
0001.HK,CK Hutchison Holdings Limited,Industrials,Conglomerates,172907,Central,Hong Kong,[],1,True,,5.092507,67,84,72.85,74.11,8,1.7,buy,,10.81,,10.33,HKD,3834530048,1609372800,1672444800,1625011200,,1630886400,,0.30621,0.20499,0.124230005,0.61434,0.12810001,0.087,0.408,,0.0476,2.5,0.2588,,1.35,68.927,0.06791,47.342,71.901,1.121,2.092,10.203,,,136.695,,0.40272135,,,1.13835,,579876814848,211090882560,73298001920,56832999424,165019000000,28750624768,182185000960,443075002368,277241004032,,4216405
1020.HK,Cybernaut International Holdings Company Limited,Consumer Cyclical,Internet Retail,96,Wan Chai,Hong Kong,[],1,False,,,,,,,,,none,,,,-0.027714,CNY,3975450112,1609372800,1672444800,1625011200,,1339718400,,0.25502002,-0.08191,-0.4439,0.27482998,-0.098179996,-0.477,,,,,0,,5.169,117.211,-0.29014,0.009,0.055,4.835,3.423,-41.797,,,0.071,,2.1830986,,,0.693967,,751802432,616194752,-50474000,-17987000,66457000,-59673376,35601000,326940000,219603008,,2325375
1005.HK,Matrix Holdings Limited,Consumer Cyclical,Leisure,6000,Tsim Sha Tsui,Hong Kong,[],1,False,,,,,,,,,none,,,,0.19,HKD,756203008,1609372800,1672444800,1625011200,,1631232000,,0.74474,0.121070005,0.08136,0.42215002,0.07913,0.243,,,0.0154,0.04,0.55,,4.043,8.046,0.07309,0.281,1.317,2.437,1.844,15.234,,,1.481,,1.7555705,,,-0.168199,,1837091840,1966127744,139424992,120588000,351159000,52995500,212720000,89652000,995993024,,1753
1000.HK,Beijing Media Corporation Limited,Basic Materials,Specialty Chemicals,280,Central,Hong Kong,[],1,False,,,,,,,,,none,,,,-1.582654,CNY,54901000,1609372800,1672444800,1625011200,,1435017600,,0.44575,-0.57578,-0.50304,0.102460004,-0.584,0.36,,,,,0,,3.939,0.026,-0.18358,1.162,1.237,3.373,-0.273,0.474,,,3.035,,0.2372323,,,0.65603,,-66600800,142063200,-6052000,-140498000,22908000,14208375,229304000,164000,244014000,,4640
1010.HK,PacRay International Holdings Limited,Industrials,Airports & Air Services,62,Central,Hong Kong,[],1,False,,,,,,,,,none,,,,,HKD,370244992,1609372800,1672444800,1625011200,,,,0.75,-0.12946,-0.13573,0.22978,-0.13709,0.542,,,,,0,,1.207,0.639,-0.16173,0.326,0.307,1.081,18.168,-140.336,,,0.251,,19.402391,,,0.253458,,2030937216,1803093120,16560000,-14472000,23965000,136048256,120782000,595000,111784000,,1031378
1003.HK,Huanxi Media Group Limited,Communication Services,Entertainment,96,Admiralty,Hong Kong,[],1,False,,,,,,,,,none,,,,-0.51,HKD,3656470016,1609372800,1672444800,1625011200,,,,0.55766,-1.33022,-1.20862,-0.54719,-1.3373101,-0.692,,,,,0,,3.301,7.263,-0.24605,0.092,0.086,1.438,17.554,-13.196,,,0.486,,2.8806584,,,0.496402,,5140339200,5119057920,-810852992,-389536992,-18325000,-31292000,337887008,129294000,292836992,,3734856
1011.HK,China NT Pharma Group Company Limited,Healthcare,Drug Manufacturers—Specialty & Generic,210,Shanghai,China,[],1,False,,0.6181819,,,,,,,none,,0.11,,-0.372239,CNY,1904640000,1609372800,1672444800,1625011200,,1531180800,,0.48959,-0.16924,-1.13763,0.6154,-0.26762,0.244,,,,,0,,0.075,3062.931,-4.00471,0.012,0.13,0.049,3.457,-20.427,,,0.01,,6.8000007,,,0.570558,,841923200,129515528,30569000,-41216000,134904000,513997504,23304000,730508992,243528000,,620250
1008.HK,Litu Holdings Limited,Consumer Cyclical,Packaging & Containers,1021,Fanling,Hong Kong,[],1,False,,,,,,,,,none,,,,0.11,HKD,1567879936,1609372800,1672444800,1625011200,,1623974400,,0.74691004,0.19469,-0.04941,0.16909,0.06147,-0.267,-0.807,,0.3077,0.1,,,1.472,11.14,-0.021170001,0.259,0.749,1.301,0.359,1.847,,,1.675,,0.20298508,,,-0.085777,,422385504,533079168,422248992,228746000,265778000,55281624,405528000,295208992,1174946944,,215983
1009.HK,International Entertainment Corporation,Real Estate,Real Estate Services,201,Central,Hong Kong,[],1,False,,,,,,,,,none,,,,-0.0566,HKD,1369159936,1625011200,1688083200,1625011200,,1440460800,,0.37737,-1.1414701,0,0.058229998,-1.89737,-0.556,,,,,0,,1.511,32.962,-0.14321999,0.451,0.047,1.508,4.638,-4.063,,,1.162,,0.23666094,,,1.496484,,297324800,376518976,-9813000,-73181000,3733000,-62644124,617515008,524630016,64111000,,7291000
1001.HK,Hong Kong Shanghai Alliance Holdings Limited,Industrials,Industrial Distribution,239,Wan Chai,Hong Kong,[],1,False,,,,,,,,,none,,,,-0.1408,HKD,640414016,1617148800,1680220800,1632960000,,1639440000,,0.51044,0.06014,0.02049,0.122609995,0.05664,0.423,109.739,,0.033299997,0.01,0,,1.031,155.474,0.05009,0.248,3.864,0.487,0.776,12.911,,,1.486,,0.28600273,,,0.016048,,1923836416,272175968,-135647008,149007008,249387000,-144400880,158756000,1671425024,2477588992,,664250
